hash,hash_after,subject,cjk_count,cjk_count_after
4e48b89403b09e9ea027c8229b8002745a2d34fd,527afef7d3668d734831c1ac6b875c5d0c7ba3f6,fix(wenshu): v0.31 -- reset menu wires NSSplitView + reopen .ws UTI,0,0
68024334b95d384952b8ef2ab290e9edfde5b743,b785cbfc8ceb8484811453715829d579fe6ca341,chore(wenshu): v0.32 -- delete orphan Tip.swift tooltip helper,0,0
ddb1227b5f25e375f95a8f362ca9ef33d1716d7d,1d300a1b540cda1396d385cb19e4f2ffd78ce4d8,chore(wenshu): v0.32 -- delete orphan EscapeLayers.swift,0,0
ba31a249aaf8ef47c8a3fdd47da313dfa6eea1c8,0e158287d0f11204ebe9aee4efd76e20ffc80389,chore(wenshu): v0.32 -- delete orphan LibraryOutlineView.swift,0,0
e1083e9cb5498d194501ea742584cfd66b6a62cd,8ab943b24e8d5aaa1847e9118270db9e850650f8,chore(wenshu): v0.32 -- delete orphan BookOutlineView.swift,0,0
9a22ee4a3ff99fb1f7adb4f22b06b4db45ff159f,e7f926a4eb4d547282d212f6320dfc9c45dca6d0,chore(wenshu): v0.32 -- delete orphan WorldOutlineView.swift,0,0
f71b4c20e7e9341f51a78e498473c48b01d87b0b,2ad6e0cea0c826acad675e63cbac2c2984f5b842,chore(wenshu): v0.32 -- delete orphan CharacterOutlineView.swift,0,0
b0c8ca665fa91a0308a3a00905090470bbd3e7a6,e590fea7c19da7cbc606383bdece190b560f1b3a,chore(wenshu): v0.32 -- delete orphan ReferenceLibraryOutlineView.swift,0,0
cdadd4593c861303f3ceab10ca8249c78a621923,3267ad023b48d7e3056baa5d7a37f352af2ddc05,chore(wenshu): v0.32 -- delete dead test LibraryOutlineViewBindingsTests.swift,0,0
fe600b0f358a3d49988931d583020012b83aca16,33363827950f1245e3066d41021f8565390dc13c,chore(wenshu): v0.32 -- remove historical comment mentions of dead OutlineView files,0,0
68689b99e893a35e94ec44d85b90196b5f2b853b,3089094cb511071b3c40db1bac93d785758a600b,refactor(wenshu): v0.32 -- move NewLibraryOutlineView inline FileManager into BookStore extension,0,0
715f6b27e1c9c69a0ce6e075c7bf47d273242c7b,a361d25de09e4964a73570ce1a8c0bb8e738bde1,fix(wenshu): v0.32 -- remove Liquid Glass opacity slider + auto-apply Apple canonical .glass,0,0
864a3498b20d37d0ca918b66b021dceeb5b7c9e2,638b57dc2e8d7ddfdec632df30a86cb724c1da86,refactor(wenshu): v0.32 -- tab bar + status bar use Apple canonical controlBackgroundColor,0,0
14790659a4660e5d789036f3190c0787459a5e7d,0b11ca36f9b8a0e1b4cb5a92a06858d0fa5467d0,chore(wenshu): v0.32 -- ComponentIndex §4.1 update for LiquidGlassOpacity removal,0,0
2fd814d0472bd0490aa3df1c057ed266031347c0,8dd90c5f8d47da7e46068793cddbb2d4e62509f9,fix(wenshu): v0.32 -- route 6-zone pane background through Apple NSColor brightness tiers,0,0
2afa7e8875381da8f5af2cbc4e87894ba3271aa7,1a69a8b46d203b0940988e2eed48898a9895f18e,fix(wenshu): v0.32 -- per-region top toolbar uses Apple canonical controlBackgroundColor,0,0
afffa4fcfb5b381b4e44464e8a1d283a48a532a5,89145bfb1f39c4050c50fe40b67305e287df65b5,fix(wenshu): v0.32 -- containerBackground for: .window uses Color.clear (bottom layer only),0,0
3067ea7c8b5341f43ae5f1e49e277f8b1dc55ed9,5398500d6d1120a6fe0f3fdc36de94fde1cd13a0,refactor(wenshu): v0.32 -- remove DesignColor wrapper enum; use bare Color(nsColor:) Apple API,0,0
5d06ad3d87952bd3fbf4d5acc0ba39cff5c11cf6,c4717d933c6aa83e1c2a56d1242a04923478735d,refactor(wenshu): v0.32 -- TitlebarControlStyle uses bare .thinMaterial (Apple Material catalog),0,0
ce3d3b37db19663a8410bbad94dd7fc4a10ca815,7259c4bdb84839d8fd967e62aedae5b70d164bc4,refactor(wenshu): v0.32 -- LayoutEditBar preset highlight uses bare .thinMaterial,0,0
